Profile Summary
Generated on: 2021-04-30 01:05:24
Msec since Epoch: 1619744724707
Target platform: 
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 
Target devices: edge-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateProgramWithBinary,1,81.4243,81.4243,81.4243,81.4243,
clWaitForEvents,32,21.5882,0.02126,0.674632,7.59471,
clCreateBuffer,4,20.3838,0.05143,5.09595,14.2063,
clCreateContext,1,12.3118,12.3118,12.3118,12.3118,
clEnqueueReadBuffer,32,8.50723,0.17951,0.265851,0.44654,
clEnqueueWriteBuffer,32,6.46494,0.17386,0.202029,0.40117,
clEnqueueTask,16,5.03405,0.25222,0.314628,0.72701,
clCreateKernel,1,3.82617,3.82617,3.82617,3.82617,
clReleaseMemObject,68,3.31467,0.02114,0.0487451,1.19565,
clEnqueueMigrateMemObjects,32,3.11271,0.0871,0.0972722,0.23479,
clReleaseEvent,48,2.20766,0.02314,0.0459929,0.20315,
clSetKernelArg,80,1.99117,0.02103,0.0248896,0.15833,
clReleaseProgram,1,1.83948,1.83948,1.83948,1.83948,
clRetainMemObject,64,1.42214,0.02137,0.0222209,0.0271,
clEnqueueMapBuffer,2,0.68337,0.06651,0.341685,0.61686,
clReleaseKernel,1,0.31603,0.31603,0.31603,0.31603,
clEnqueueUnmapMemObject,2,0.27688,0.1219,0.13844,0.15498,
clFinish,1,0.26165,0.26165,0.26165,0.26165,
clGetPlatformIDs,2,0.13391,0.02531,0.066955,0.1086,
clReleaseContext,1,0.12315,0.12315,0.12315,0.12315,
clGetDeviceIDs,2,0.05489,0.02147,0.027445,0.03342,
clCreateCommandQueue,1,0.05453,0.05453,0.05453,0.05453,
clGetPlatformInfo,2,0.04882,0.02203,0.02441,0.02679,
clReleaseDevice,2,0.04625,0.02153,0.023125,0.02472,
clRetainDevice,2,0.04366,0.0208,0.02183,0.02286,
clReleaseCommandQueue,1,0.03344,0.03344,0.03344,0.03344,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
hardware_encoding,16,22.2477,0.43413,1.39048,7.69119,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,48,455.037418,4.739973,66.6693,7.032670,0.146514,
context0:1,WRITE,48,358.875469,3.738286,39.5858,5.294650,0.110305,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
187650864699472,hardware_encoding,0,0,edge-0,45812,7.69119,1:1:1,1:1:1,
187650864699472,hardware_encoding,0,0,edge-0,45792,6.00433,1:1:1,1:1:1,
187650864699472,hardware_encoding,0,0,edge-0,45769.5,0.90633,1:1:1,1:1:1,
187650864699472,hardware_encoding,0,0,edge-0,45786.9,0.75729,1:1:1,1:1:1,
187650864699472,hardware_encoding,0,0,edge-0,45806.9,0.75184,1:1:1,1:1:1,
187650864699472,hardware_encoding,0,0,edge-0,45746.1,0.74886,1:1:1,1:1:1,
187650864699472,hardware_encoding,0,0,edge-0,45760,0.66871,1:1:1,1:1:1,
187650864699472,hardware_encoding,0,0,edge-0,45777.1,0.65014,1:1:1,1:1:1,
187650864699472,hardware_encoding,0,0,edge-0,45783.7,0.57818,1:1:1,1:1:1,
187650864699472,hardware_encoding,0,0,edge-0,45753.4,0.56425,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
1606942720,0,0,45775.5,1.284380,100,77.858578,
1606942720,0,0,45745.3,0.273440,100,365.710942,
1606942720,0,0,45759.5,0.252380,100,396.227910,
1606942720,0,0,45823.3,0.219280,100,456.037942,
1606942720,0,0,45749.7,0.203170,100,492.198651,
1606942720,0,0,45753,0.189430,100,527.899488,
1606942720,0,0,45806.4,0.178010,100,561.766193,
1606942720,0,0,45756.4,0.173830,100,575.274694,
1606942720,0,0,45811.5,0.172560,100,579.508577,
1606942720,0,0,45762.8,0.157420,100,635.243298,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
1607204864,0,0,45747.2,0.398050,200,502.449441,
1607204864,0,0,45820,0.380640,200,525.430853,
1607204864,0,0,45778,0.375230,200,533.006423,
1607204864,0,0,45798.3,0.367290,200,544.528846,
1607204864,0,0,45807.9,0.361380,200,553.434058,
1607204864,0,0,45770.6,0.358030,200,558.612407,
1607204864,0,0,45751,0.356750,200,560.616678,
1607204864,0,0,45760.9,0.351860,200,568.407889,
1607204864,0,0,45784.5,0.351620,200,568.795859,
1607204864,0,0,45754.3,0.349710,200,571.902433,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,edge-0,73.558380,
CU_CALLS,edge-0|hardware_encoding_1,16,
NUM_MONITORS,edge-0|XCL_PERF_MON_ACCEL|0,0,
NUM_MONITORS,edge-0|XCL_PERF_MON_MEMORY|0,0,
NUM_MONITORS,edge-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,32,
MEMORY_USAGE,edge-0|HP0,1,
MEMORY_USAGE,edge-0|HP1,0,
MEMORY_USAGE,edge-0|HP2,0,
MEMORY_USAGE,edge-0|HP3,0,
MEMORY_USAGE,edge-0|HPC0,0,
MEMORY_USAGE,edge-0|HPC1,0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,hardware_encoding_1/m_axi_gmem,32,
KERNEL_COUNT,hardware_encoding,1,
OBJECTS_RELEASED,all,1,
TRACE_MEMORY,all,FIFO,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,hardware_encoding,1,
COMMAND_QUEUE_OOO,187650864633856,0,
KERNEL_BUFFER_INFO,hardware_encoding|s1|HP0|1,100000,
KERNEL_BUFFER_INFO,hardware_encoding|out_code|HP0|1,200000,
KERNEL_BUFFER_INFO,hardware_encoding|header|HP0|1,4,
KERNEL_BUFFER_INFO,hardware_encoding|out_len|HP0|1,4,
MEMORY_TYPE_BIT_WIDTH,edge-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,edge-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,edge-0|PLRAM,512,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,fine,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,all,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,7.03267,
BUFFER_WR_ACTIVE_TIME_MS,all,5.29465,
BUFFER_TX_ACTIVE_TIME_MS,all,78.3504,
APPLICATION_RUN_TIME_MS,all,45826.6,
TOTAL_KERNEL_RUN_TIME_MS,all,73.5584,


